,idx,lat,long
228,228,49.79913,23.00014
229,229,49.4523,23.00054
230,230,49.45229,23.00069
231,231,49.45115,23.00083
232,232,49.43992,23.00084
233,233,49.44401,23.00101
234,234,49.45077,23.00113
235,235,49.45235,23.00119
236,236,49.22404,23.00171
237,237,49.44147,23.00174
238,238,49.22405,23.0018
239,239,49.22392,23.00185
240,240,49.34171,23.00212
241,241,49.37231,23.00242
242,242,49.4438,23.00244
243,243,49.34199,23.00308
244,244,49.44685,23.00331
245,245,49.4489,23.00336
246,246,49.37217,23.00349
247,247,49.44854,23.00367
248,248,49.44825,23.00371
249,249,49.34232,23.00443
250,250,49.37219,23.00448
251,251,49.22053,23.00563
252,252,49.37235,23.00626
253,253,49.79894,23.00649
254,254,49.34298,23.00676
255,255,49.37234,23.00772
256,256,49.45269,23.00809
257,257,49.21882,23.00832
258,258,49.2183,23.00882
259,259,49.45269,23.00886
260,260,49.34437,23.00887
261,261,49.37196,23.00894
262,262,49.37155,23.00941
263,263,49.21674,23.00967
264,264,49.3706,23.0104
265,265,49.45265,23.01047
266,266,49.37022,23.01095
267,267,49.34532,23.01116
268,268,49.3699,23.01229
269,269,49.21122,23.01287
270,270,49.3697,23.01332
271,271,49.79871,23.01405
272,272,49.36949,23.01407
273,273,49.36931,23.01431
274,274,49.36883,23.01461
275,275,49.36809,23.01465
276,276,49.3677,23.01476
277,277,49.36659,23.01501
278,278,49.36547,23.01528
279,279,49.34709,23.01535
280,280,49.45281,23.01541
281,281,49.36479,23.0154
282,282,49.36348,23.01557
283,283,49.20703,23.01572
284,284,49.36201,23.01585
285,285,49.36047,23.01617
286,286,49.20629,23.01639
287,287,49.35852,23.01651
288,288,49.35644,23.01786
289,289,49.34841,23.01803
290,290,49.35529,23.01859
291,291,49.35417,23.01934
292,292,49.34965,23.01974
293,293,49.35026,23.02003
294,294,49.20397,23.02011
295,295,49.35254,23.02035
296,296,49.35104,23.02034
297,297,49.35207,23.02042
298,298,49.35143,23.02042
299,299,49.79839,23.02089
300,300,49.45302,23.02285
301,301,49.79834,23.0239
302,302,49.45267,23.02433
303,303,49.79841,23.02465
304,304,49.45237,23.02525
305,305,49.2006,23.02532
306,306,49.79895,23.02656
307,307,49.4521,23.0266
308,308,49.199,23.02785
309,309,49.19891,23.02799
310,310,49.19897,23.02805
311,311,49.79957,23.02885
312,312,49.45233,23.02941
313,313,49.19799,23.0299
314,314,49.19806,23.02993
315,315,49.79983,23.03023
316,316,49.45258,23.03047
317,317,49.4527,23.0309
318,318,49.45371,23.0314
319,319,49.45404,23.03155
320,320,49.45424,23.0318
321,321,49.45438,23.03219
322,322,49.19676,23.03312
323,323,49.19682,23.03314
324,324,49.15362,23.0339
325,325,49.80053,23.0354
326,326,49.45589,23.0365
327,327,49.19551,23.03752
328,328,49.19556,23.03756
329,329,49.19441,23.0388
330,330,49.19445,23.03889
331,331,49.15301,23.0398
332,332,49.80115,23.04014
333,333,49.15358,23.04021
334,334,49.15401,23.04091
335,335,49.15441,23.0412
336,336,49.15454,23.04149
337,337,49.19136,23.04168
338,338,49.19139,23.04176
339,339,49.15463,23.04209
340,340,49.18983,23.04247
341,341,49.18984,23.04253
342,342,49.15459,23.04254
343,343,49.18891,23.04294
344,344,49.18893,23.04302
345,345,49.15441,23.04307
346,346,49.45872,23.04309
347,347,49.15442,23.04379
348,348,49.80169,23.04418
349,349,49.17746,23.04424
350,350,49.17682,23.04426
351,351,49.17745,23.04432
352,352,49.17672,23.04432
353,353,49.17684,23.04435
354,354,49.15454,23.04441
355,355,49.17606,23.0446
356,356,49.18444,23.04476
357,357,49.18444,23.04484
358,358,49.17868,23.04485
359,359,49.18482,23.04487
360,360,49.17867,23.04493
361,361,49.1848,23.04494
362,362,49.18373,23.04511
363,363,49.80183,23.04517
364,364,49.18376,23.0452
365,365,49.18662,23.04539
366,366,49.18563,23.04545
367,367,49.18663,23.04547
368,368,49.15496,23.04547
369,369,49.17535,23.0455
370,370,49.18561,23.04553
371,371,49.18607,23.04556
372,372,49.18327,23.04557
373,373,49.18607,23.04565
374,374,49.18329,23.04565
375,375,49.18435,23.04583
376,376,49.18439,23.04591
377,377,49.16473,23.04614
378,378,49.16554,23.04615
379,379,49.18483,23.04617
380,380,49.802,23.0462
381,381,49.16474,23.04622
382,382,49.16552,23.04625
383,383,49.18481,23.04626
384,384,49.18203,23.04639
385,385,49.18208,23.04641
386,386,49.1663,23.04662
387,387,49.1623,23.04664
388,388,49.16221,23.04671
389,389,49.16627,23.04674
390,390,49.1623,23.04675
391,391,49.18202,23.04677
392,392,49.18496,23.04679
393,393,49.18489,23.04681
394,394,49.18197,23.04684
395,395,49.18219,23.04703
396,396,49.18217,23.0471
397,397,49.16075,23.04712
398,398,49.80227,23.04716
399,399,49.18253,23.04722
400,400,49.18255,23.04728
401,401,49.18469,23.04739
402,402,49.16027,23.04743
403,403,49.18475,23.04744
404,404,49.16017,23.04776
405,405,49.80266,23.04819
406,406,49.16003,23.04826
407,407,49.16768,23.04829
408,408,49.16765,23.04832
409,409,49.15991,23.04874
410,410,49.46099,23.04884
411,411,49.18197,23.04884
412,412,49.18196,23.04894
413,413,49.18276,23.049
414,414,49.18277,23.04908
415,415,49.15878,23.04951
416,416,49.15782,23.05007
417,417,49.1573,23.05012
418,418,49.80356,23.05075
419,419,49.16971,23.05119
420,420,49.16968,23.05128
421,421,49.17167,23.05136
422,422,49.17038,23.05163
423,423,49.17051,23.05171
424,424,49.17038,23.05173
425,425,49.80381,23.05191
426,426,49.80385,23.05377
427,427,49.4635,23.05528
428,428,49.80391,23.05682
429,429,49.80397,23.05929
430,430,49.80401,23.06084
431,431,49.46571,23.06089
432,432,49.80417,23.06247
433,433,49.8043,23.06365
434,434,49.74844,23.06609
435,435,49.74752,23.06613
436,436,49.74873,23.06623
437,437,49.80431,23.06657
438,438,49.74704,23.06671
439,439,49.74913,23.06695
440,440,49.74901,23.06771
441,441,49.74874,23.06832
442,442,49.46851,23.0683
443,443,49.80444,23.06873
444,444,49.74726,23.06889
445,445,49.74829,23.06893
446,446,49.74669,23.06895
447,447,49.74799,23.06907
448,448,49.74613,23.06919
449,449,49.74471,23.06978
450,450,49.74537,23.06979
451,451,49.74508,23.06987
452,452,49.74335,23.06988
453,453,49.74396,23.07006
454,454,49.80465,23.07097
455,455,49.74317,23.07124
456,456,49.80483,23.07204
457,457,49.80487,23.07268
458,458,49.80481,23.07341
459,459,49.7424,23.07347
460,460,49.47073,23.07413
461,461,49.74177,23.07458
462,462,49.80452,23.07524
463,463,49.47181,23.07694
464,464,49.74061,23.07724
465,465,49.80462,23.0776
466,466,49.8047,23.08035
467,467,49.74256,23.08059
468,468,49.74298,23.0815
469,469,49.80479,23.08174
470,470,49.74307,23.08201
471,471,49.474,23.08248
472,472,49.74303,23.08282
473,473,49.80472,23.08307
474,474,49.80447,23.08453
475,475,49.74226,23.08804
476,476,49.47625,23.08819
477,477,49.80379,23.09013
478,478,49.74167,23.0916
479,479,49.74127,23.09263
480,480,49.74041,23.0943
481,481,49.47923,23.09581
482,482,49.80286,23.09681
483,483,49.73892,23.09782
484,484,49.73862,23.0999
485,485,49.73451,23.10044
486,486,49.73461,23.10091
487,487,49.48127,23.10108
488,488,49.80219,23.10188
489,489,49.73831,23.10246
490,490,49.73798,23.10383
491,491,49.73698,23.10456
492,492,49.73716,23.10521
493,493,49.73693,23.10608
494,494,49.80109,23.10644
495,495,49.73691,23.10748
496,496,49.73715,23.10838
497,497,49.73748,23.10918
498,498,49.48452,23.10947
499,499,49.79993,23.1113
500,500,49.73989,23.11512
501,501,49.95639,23.11527
502,502,49.79865,23.11601
503,503,49.74232,23.11638
504,504,49.74178,23.1164
505,505,49.7428,23.11666
506,506,49.7403,23.11679
507,507,49.74314,23.1173
508,508,49.74381,23.11791
509,509,49.74439,23.1181
510,510,49.7452,23.11838
511,511,49.74563,23.11864
512,512,49.74628,23.11962
513,513,49.48847,23.11981
514,514,49.74657,23.12063
515,515,49.74716,23.12149
516,516,49.74834,23.12293
517,517,49.74899,23.12443
518,518,49.49102,23.12648
519,519,49.75092,23.12934
520,520,49.49277,23.13097
521,521,49.95618,23.13363
522,522,49.7529,23.13434
523,523,49.95582,23.13552
524,524,49.49475,23.13597
525,525,49.95513,23.13779
526,526,49.75464,23.13831
527,527,49.49674,23.14099
528,528,49.75606,23.14158
529,529,49.75655,23.14241
530,530,49.95266,23.14267
531,531,49.75663,23.1431
532,532,49.4978,23.14371
533,533,49.75697,23.14394
534,534,49.7922,23.14489
535,535,49.75976,23.14557
536,536,49.76117,23.14563
537,537,49.76505,23.14684
538,538,49.76787,23.14774
539,539,49.95026,23.14785
540,540,49.79127,23.14803
541,541,49.76905,23.14809
542,542,49.79108,23.1481
543,543,49.7921,23.14812
544,544,49.78297,23.14818
545,545,49.78327,23.14832
546,546,49.77089,23.1486
547,547,49.78972,23.14866
548,548,49.7814,23.1487
549,549,49.77185,23.14878
550,550,49.77388,23.14903
551,551,49.77663,23.14923
552,552,49.77985,23.14939
553,553,49.77839,23.1494
554,554,49.78805,23.14944
555,555,49.77907,23.14951
556,556,49.78755,23.14959
557,557,49.50011,23.14957
558,558,49.79128,23.14981
559,559,49.78501,23.14997
560,560,49.78476,23.15003
561,561,49.7922,23.15153
562,562,49.94897,23.15249
563,563,49.79224,23.15298
564,564,49.50186,23.15418
565,565,49.79248,23.15465
566,566,49.79235,23.15561
567,567,49.94849,23.1559
568,568,49.50311,23.15743
569,569,49.79258,23.15778
570,570,49.50494,23.16219
571,571,49.7917,23.16516
572,572,49.50686,23.1671
573,573,49.50832,23.17083
574,574,49.79101,23.17142
575,575,49.79112,23.17411
576,576,49.51035,23.17612
577,577,49.51104,23.17798
578,578,49.94661,23.17798
579,579,49.51201,23.18038
580,580,49.94682,23.18081
581,581,49.51284,23.18254
582,582,49.94788,23.18457
583,583,49.51434,23.18639
584,584,49.51474,23.18693
585,585,49.515,23.18732
586,586,49.51513,23.18782
587,587,49.95045,23.18925
588,588,49.51602,23.19078
589,589,49.5164,23.19161
590,590,49.51694,23.19283
591,591,49.51697,23.19296
592,592,49.51696,23.19317
593,593,49.51674,23.19349
594,594,49.51636,23.19398
595,595,49.79703,23.1944
596,596,49.51585,23.19489
597,597,49.51578,23.1951
598,598,49.79778,23.19527
599,599,49.95388,23.19522
600,600,49.51576,23.19546
601,601,49.79894,23.19613
602,602,49.51587,23.19617
603,603,49.51767,23.19682
604,604,49.5171,23.19711
605,605,49.51692,23.19727
606,606,49.80214,23.19749
607,607,49.51666,23.19748
608,608,49.51658,23.1976
609,609,49.51621,23.19761
610,610,49.51792,23.19799
611,611,49.51631,23.19806
612,612,49.95506,23.1981
613,613,49.51741,23.19833
614,614,49.51635,23.19833
615,615,49.51644,23.19843
616,616,49.51569,23.19849
617,617,49.51722,23.1985
618,618,49.51644,23.19861
619,619,49.51612,23.19866
620,620,49.51633,23.19868
621,621,49.51639,23.19871
622,622,49.51639,23.19926
623,623,49.5164,23.19977
624,624,49.51837,23.19992
625,625,49.51849,23.20038
626,626,49.51847,23.20059
627,627,49.51839,23.20065
628,628,49.51625,23.20071
629,629,49.95573,23.20081
630,630,49.51622,23.20099
631,631,49.51803,23.20105
632,632,49.5163,23.20121
633,633,49.51622,23.20121
634,634,49.51616,23.20124
635,635,49.51635,23.20136
636,636,49.51614,23.20144
637,637,49.51632,23.20145
638,638,49.51619,23.20151
639,639,49.51628,23.20151
640,640,49.51645,23.20164
641,641,49.51609,23.20166
642,642,49.51833,23.20199
643,643,49.51589,23.20222
644,644,49.51716,23.20218
645,645,49.51693,23.2026
646,646,49.51693,23.20262
647,647,49.8031,23.20327
648,648,49.51721,23.20344
649,649,49.95609,23.20417
650,650,49.51611,23.20465
651,651,49.51788,23.20519
652,652,49.51837,23.20653
653,653,49.80353,23.20693
654,654,49.95598,23.20814
655,655,49.51876,23.20902
656,656,49.519,23.2105
657,657,49.51917,23.21154
658,658,49.51983,23.21529
659,659,49.95498,23.21676
660,660,49.52033,23.21724
661,661,49.52112,23.21878
662,662,49.52206,23.22063
663,663,49.95458,23.22196
664,664,49.80273,23.2227
665,665,49.52347,23.22342
666,666,49.8029,23.22544
667,667,49.52568,23.22775
668,668,49.95447,23.22861
669,669,49.8032,23.23025
670,670,49.52703,23.23046
671,671,49.80217,23.2353
672,672,49.52969,23.23558
673,673,49.95231,23.2379
674,674,49.53206,23.24028
675,675,49.95155,23.24043
676,676,49.53319,23.24256
677,677,49.53493,23.24592
678,678,49.53597,23.24792
679,679,49.80131,23.24919
680,680,49.53877,23.25345
681,681,49.9455,23.25443
682,682,49.20902,23.25499
683,683,49.20945,23.25553
684,684,49.20967,23.25639
685,685,49.20999,23.25845
686,686,49.21002,23.26017
687,687,49.54342,23.26272
688,688,49.56244,23.26396
689,689,49.20977,23.26408
690,690,49.20966,23.26453
691,691,49.94246,23.26557
692,692,49.56199,23.26608
693,693,49.5455,23.2668
694,694,49.56145,23.26721
695,695,49.20824,23.26752
696,696,49.56139,23.26765
697,697,49.56156,23.26839
698,698,49.20728,23.26864
699,699,49.56151,23.2688
700,700,49.2069,23.26928
701,701,49.56127,23.26947
702,702,49.5594,23.26957
703,703,49.2064,23.26984
704,704,49.56124,23.26998
705,705,49.55858,23.27013
706,706,49.80019,23.27024
707,707,49.20603,23.27046
708,708,49.5617,23.27053
709,709,49.55813,23.27054
710,710,49.20581,23.27107
711,711,49.56193,23.27126
712,712,49.55733,23.27219
713,713,49.20568,23.27228
714,714,49.94057,23.27325
715,715,49.56221,23.27345
716,716,49.20565,23.27345
717,717,49.54904,23.27379
718,718,49.55572,23.27527
719,719,49.2063,23.27523
720,720,49.55323,23.27583
721,721,49.5548,23.27602
722,722,49.55447,23.27605
723,723,49.20675,23.27609
724,724,49.55044,23.27654
725,725,49.2078,23.27748
726,726,50.00939,23.27835
727,727,50.00863,23.27841
728,728,49.20877,23.27843
729,729,50.01542,23.27846
730,730,50.00593,23.27847
731,731,50.02137,23.27861
732,732,50.00706,23.27867
733,733,50.02763,23.27875
734,734,50.03372,23.27884
735,735,49.20902,23.27892
736,736,50.00437,23.27916
737,737,50.04406,23.27929
738,738,50.0426,23.27929
739,739,50.04466,23.27936
740,740,50.04696,23.28
741,741,50.04825,23.28039
742,742,50.0015,23.2804
743,743,49.20955,23.28096
744,744,49.99968,23.28179
745,745,49.21006,23.28242
746,746,49.99886,23.28265
747,747,49.55434,23.28432
748,748,49.21129,23.28447
749,749,49.99757,23.28469
750,750,49.79962,23.28559
751,751,49.93797,23.28623
752,752,49.99688,23.28653
753,753,49.21223,23.28714
754,754,49.55715,23.28994
755,755,49.21272,23.28993
756,756,49.93695,23.29005
757,757,49.99489,23.29031
758,758,49.99379,23.29203
759,759,49.21405,23.29278
760,760,49.55894,23.29344
761,761,49.9369,23.29367
762,762,49.21652,23.29465
763,763,49.21642,23.29469
764,764,49.21625,23.29486
765,765,49.99117,23.29507
766,766,49.21558,23.29527
767,767,49.21594,23.29528
768,768,49.21644,23.29551
769,769,49.21633,23.29571
770,770,49.21641,23.29719
771,771,49.93653,23.29793
772,772,49.21616,23.29846
773,773,49.55793,23.29936
774,774,49.21591,23.29933
775,775,49.98689,23.29949
776,776,49.55811,23.29998
777,777,49.55741,23.30044
778,778,49.21532,23.30056
779,779,49.55761,23.30135
780,780,49.56278,23.30146
781,781,49.56251,23.30164
782,782,49.93579,23.30159
783,783,49.55774,23.30261
784,784,49.98238,23.30416
785,785,49.79897,23.30427
786,786,49.93606,23.30456
787,787,49.21426,23.30478
788,788,49.21361,23.30543
789,789,49.21347,23.30579
790,790,49.56517,23.30593
791,791,49.21301,23.3068
792,792,49.93615,23.3083
793,793,49.21414,23.30835
794,794,49.98001,23.30897
795,795,49.56744,23.3091
796,796,49.21513,23.30923
797,797,49.93629,23.31024
798,798,49.75103,23.31216
799,799,49.97873,23.31283
800,800,49.75129,23.31288
801,801,49.9787,23.31286
802,802,49.93725,23.31401
803,803,49.21845,23.31435
804,804,49.21904,23.31498
805,805,49.57204,23.3153
806,806,49.21981,23.31545
807,807,49.22016,23.31561
808,808,49.75123,23.3158
809,809,49.97789,23.31659
810,810,49.7513,23.31671
811,811,49.75119,23.31746
812,812,49.22138,23.31761
813,813,49.93542,23.31781
814,814,49.93676,23.3185
815,815,49.22159,23.31909
816,816,49.97744,23.3194
817,817,49.22196,23.31979
818,818,49.75056,23.32011
819,819,49.22292,23.3203
820,820,49.57592,23.32051
821,821,49.22476,23.32093
822,822,49.97728,23.32195
823,823,49.2262,23.32253
824,824,49.22654,23.32322
825,825,49.75098,23.32337
826,826,49.93619,23.32345
827,827,49.97716,23.32401
828,828,49.97716,23.32496
829,829,49.57931,23.32512
830,830,49.97698,23.32551
831,831,49.22753,23.32624
832,832,49.9759,23.32644
833,833,49.79612,23.32764
834,834,49.974,23.32815
835,835,49.22775,23.32841
836,836,49.7515,23.32922
837,837,49.9726,23.32929
838,838,49.79611,23.32949
839,839,49.97178,23.32987
840,840,49.97098,23.33029
841,841,49.97037,23.33059
842,842,49.79623,23.33084
843,843,49.97005,23.33094
844,844,49.73909,23.33106
845,845,49.58396,23.33126
846,846,49.74186,23.33137
847,847,49.79566,23.33139
848,848,49.73736,23.33155
849,849,49.9347,23.33308
850,850,49.96882,23.33317
851,851,49.75008,23.3335
852,852,49.79713,23.33358
853,853,49.72812,23.33365
854,854,49.73023,23.33407
855,855,49.22958,23.33419
856,856,49.23023,23.33568
857,857,49.58759,23.33613
858,858,49.74767,23.33618
859,859,49.23059,23.33637
860,860,49.231,23.3365
861,861,49.74935,23.33654
862,862,49.23198,23.33725
863,863,49.23055,23.33729
864,864,49.72779,23.33737
865,865,49.96662,23.33754
866,866,49.23223,23.33763
867,867,49.23064,23.33785
868,868,49.9342,23.33785
869,869,49.72742,23.33806
870,870,49.23268,23.33839
871,871,49.23096,23.3388
872,872,49.23328,23.33905
873,873,49.96538,23.33935
874,874,49.7274,23.33976
875,875,49.23117,23.33983
876,876,49.72732,23.34026
877,877,49.23383,23.34033
878,878,49.72706,23.34047
879,879,49.23754,23.34046
880,880,49.2383,23.34068
881,881,49.23124,23.34086
882,882,49.75414,23.34101
883,883,49.23482,23.34108
884,884,49.72663,23.34155
885,885,49.23947,23.34151
886,886,49.23935,23.34154
887,887,49.23942,23.34167
888,888,49.72666,23.34195
889,889,49.59192,23.34205
890,890,49.72704,23.34238
891,891,49.80191,23.34266
892,892,49.24457,23.34338
893,893,49.24422,23.34342
894,894,49.24456,23.34351
895,895,49.24424,23.34357
896,896,49.24514,23.34363
897,897,49.24527,23.34376
898,898,49.24519,23.34377
899,899,49.24255,23.34377
900,900,49.24331,23.3439
901,901,49.24256,23.34392
902,902,49.24285,23.34395
903,903,49.25133,23.34402
904,904,49.25108,23.34402
905,905,49.2433,23.34405
906,906,49.24287,23.34407
907,907,49.25109,23.34417
908,908,49.25128,23.34418
909,909,49.96218,23.34422
910,910,49.2516,23.34426
911,911,49.24615,23.34428
